Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
1,84810,11,3,107.1,8.5,uniform,28,74,9.84,9.84,9.84,335.36,12.17,100.0,10.62,10.62,10.62,388.23,16.56,100.0,13.16,13.16,13.16,550.04,0.02,100.0,7.35,7.35,QPSO,25.27,25.27,QPSO
2,12395,19,7,71.6,8.5,uniform,41,78,16.16,16.16,16.16,671.03,28.91,100.0,16.81,16.81,16.81,711.64,38.36,100.0,19.88,19.88,19.88,872.62,0.0,100.0,3.84,3.84,QPSO,18.71,18.71,QPSO
3,4478,18,5,105.8,8.5,rush_hour,43,57,23.61,23.61,23.61,568.17,18.34,100.0,27.17,27.17,27.17,680.65,12.62,100.0,26.3,26.3,26.3,683.76,0.01,100.0,13.12,13.12,QPSO,10.24,10.24,QPSO
4,1851,12,4,87.0,8.5,rush_hour,28,45,17.3,17.3,17.3,398.04,11.41,100.0,17.3,17.3,17.3,398.04,9.66,100.0,20.0,20.0,20.0,446.86,0.0,100.0,-0.0,0.0,Tie,13.49,13.49,QPSO
5,50797,11,5,112.4,9.0,uniform,39,74,8.43,8.43,8.43,350.02,20.17,100.0,8.78,8.78,8.78,372.85,16.91,100.0,11.4,11.4,11.4,451.22,0.01,100.0,4.04,4.04,QPSO,26.08,26.08,QPSO
6,17361,16,5,97.6,17.5,uniform,27,42,13.3,13.3,13.3,588.8,11.15,100.0,14.86,14.86,14.86,607.9,8.39,100.0,18.27,18.27,18.27,725.53,0.02,100.0,10.45,10.45,QPSO,27.19,27.19,QPSO
7,87673,13,3,119.3,8.0,rush_hour,33,69,14.03,14.03,14.03,397.0,25.19,100.0,15.36,15.36,15.36,459.97,16.98,100.0,14.25,14.25,14.25,433.14,0.01,100.0,8.63,8.63,QPSO,1.51,1.51,QPSO
8,84320,15,5,88.5,18.0,rush_hour,45,44,12.24,12.24,12.24,535.12,21.89,100.0,13.89,13.89,13.89,568.63,15.88,100.0,15.63,15.63,15.63,649.41,0.01,100.0,11.92,11.92,QPSO,21.74,21.74,QPSO
9,80840,20,6,96.7,8.5,rush_hour,37,57,26.11,26.11,26.11,562.92,28.26,100.0,29.72,29.72,29.72,654.24,17.29,100.0,30.89,30.89,30.89,703.62,0.01,100.0,12.15,12.15,QPSO,15.48,15.48,QPSO
10,84886,18,5,104.2,8.5,uniform,35,65,13.37,13.37,13.37,503.68,37.97,100.0,15.58,15.58,15.58,587.37,21.32,100.0,17.21,17.21,17.21,634.24,0.02,100.0,14.2,14.2,QPSO,22.32,22.32,QPSO
11,36093,11,5,115.7,18.0,rush_hour,31,71,10.47,10.47,10.47,456.99,40.72,100.0,10.19,10.19,10.19,452.77,29.68,100.0,15.42,15.42,15.42,596.22,0.01,100.0,-2.78,-2.78,Classical PSO,32.07,32.07,QPSO
12,52856,20,7,77.1,8.5,incident,42,74,20.18,20.18,20.18,881.07,43.0,100.0,20.42,20.42,20.42,811.97,33.66,100.0,23.96,23.96,23.96,1042.42,0.01,100.0,1.16,1.16,QPSO,15.76,15.76,QPSO
13,35438,19,5,114.9,9.0,uniform,29,72,16.77,16.77,16.77,698.25,42.36,100.0,18.21,18.21,18.21,761.53,33.32,100.0,19.92,19.92,19.92,819.18,0.01,100.0,7.94,7.94,QPSO,15.85,15.85,QPSO
14,65686,11,3,113.1,18.0,uniform,38,78,11.43,11.43,11.43,461.38,28.01,100.0,12.25,12.25,12.25,485.94,24.93,100.0,14.43,14.43,14.43,585.56,0.0,100.0,6.67,6.67,QPSO,20.76,20.76,QPSO
15,9326,16,5,99.8,17.5,rush_hour,42,40,12.86,12.86,12.86,533.11,18.78,100.0,13.82,13.82,13.82,600.23,11.35,100.0,16.63,16.63,16.63,737.67,0.02,100.0,6.98,6.98,QPSO,22.69,22.69,QPSO
16,90166,11,4,108.4,8.0,rush_hour,38,50,13.99,13.99,13.99,355.0,18.91,100.0,13.99,13.99,13.99,355.0,12.07,100.0,16.69,16.69,16.69,420.38,0.0,100.0,-0.0,-0.0,Tie,16.21,16.21,QPSO
17,60470,10,3,118.6,17.5,uniform,45,59,7.67,7.67,7.67,359.4,25.19,100.0,7.58,7.58,7.58,335.65,17.18,100.0,11.95,11.95,11.95,612.92,0.0,100.0,-1.28,-1.28,Classical PSO,35.81,35.81,QPSO
18,84748,18,6,77.6,17.5,incident,25,78,17.36,17.36,17.36,750.54,36.42,100.0,20.77,20.77,20.77,851.45,22.63,100.0,22.93,22.93,22.93,849.29,0.02,100.0,16.44,16.44,QPSO,24.3,24.3,QPSO
19,43487,17,6,75.6,9.0,uniform,26,55,15.18,15.18,15.18,666.16,21.51,100.0,16.79,16.79,16.79,662.49,16.74,100.0,18.44,18.44,18.44,823.5,0.01,100.0,9.59,9.59,QPSO,17.68,17.68,QPSO
20,75364,11,3,106.6,17.5,uniform,29,70,10.47,10.47,10.47,393.57,29.36,100.0,9.91,9.91,9.91,382.98,19.26,100.0,13.38,13.38,13.38,473.68,0.0,100.0,-5.68,-5.68,Classical PSO,21.75,21.75,QPSO
21,73063,12,5,96.4,8.5,incident,31,59,9.91,9.91,9.91,413.25,16.83,100.0,9.66,9.66,9.66,398.42,20.65,100.0,14.18,14.18,14.18,607.93,0.01,100.0,-2.64,-2.64,Classical PSO,30.1,30.1,QPSO
22,53296,20,6,91.9,8.0,uniform,32,44,16.19,16.19,16.19,636.46,13.65,100.0,19.8,19.8,19.8,802.9,10.99,100.0,17.46,17.46,17.46,735.92,0.01,100.0,18.22,18.22,QPSO,7.24,7.24,QPSO
