Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
1,84810,9,3,114.5,8.5,uniform,23,46,9.73,9.73,8.73,334.24,12.39,100.0,10.03,10.03,9.03,346.66,13.49,100.0,12.56,12.56,11.56,426.51,0.01,100.0,2.97,3.29,QPSO,22.56,24.51,QPSO
2,98080,16,4,105.4,8.0,uniform,26,32,14.08,14.08,12.08,542.81,10.75,100.0,16.07,16.07,14.07,645.48,10.23,100.0,19.7,19.7,17.7,853.55,0.01,100.0,12.42,14.18,QPSO,28.54,31.77,QPSO
3,67237,17,6,103.7,8.5,rush_hour,28,50,23.62,23.62,21.62,476.47,16.6,100.0,26.11,26.11,24.11,578.7,14.75,100.0,26.99,26.99,24.99,609.89,0.01,100.0,9.51,10.3,QPSO,12.46,13.46,QPSO
4,1851,10,4,90.4,8.5,rush_hour,23,27,15.64,15.64,14.14,380.27,6.95,100.0,17.6,17.6,16.1,403.92,5.66,100.0,18.79,18.79,17.29,488.46,0.01,100.0,11.15,12.19,QPSO,16.8,18.26,QPSO
5,50797,9,6,120.8,9.0,uniform,34,42,8.55,8.55,7.55,271.91,10.64,100.0,8.55,8.55,7.55,271.91,12.97,100.0,11.88,11.88,10.88,433.93,0.0,100.0,0.0,0.0,Tie,28.06,30.64,QPSO
6,17361,14,6,103.1,17.5,rush_hour,26,47,12.48,12.48,10.98,507.79,13.17,100.0,14.82,14.82,13.32,569.94,9.53,100.0,17.67,17.67,16.17,710.67,0.0,100.0,15.81,17.58,QPSO,29.37,32.09,QPSO
7,10116,8,2,116.4,8.5,uniform,32,33,9.99,9.99,8.99,357.52,7.87,100.0,9.99,9.99,8.99,357.52,9.93,100.0,14.02,14.02,13.02,539.07,0.01,100.0,0.0,0.0,Tie,28.76,30.96,QPSO
8,60429,18,6,79.8,8.5,incident,28,47,17.32,17.32,14.82,540.25,19.02,100.0,18.84,18.84,16.34,622.05,10.38,100.0,21.96,21.96,19.46,754.54,0.01,100.0,8.05,9.28,QPSO,21.13,23.84,QPSO
9,90593,18,5,106.5,17.5,incident,27,30,15.02,15.02,13.02,478.55,13.03,100.0,17.47,17.47,15.47,599.9,9.62,100.0,18.9,18.9,16.9,646.2,0.01,100.0,13.99,15.79,QPSO,20.5,22.92,QPSO
10,61589,14,4,129.4,18.0,rush_hour,21,32,11.7,11.7,10.2,463.78,8.18,100.0,13.18,13.18,11.68,552.82,8.72,100.0,13.68,13.68,12.18,527.55,0.01,100.0,11.2,12.64,QPSO,14.45,16.23,QPSO
11,5207,13,4,86.1,17.5,incident,30,31,15.15,15.15,13.15,464.05,10.54,100.0,12.92,12.92,10.92,375.22,9.06,100.0,16.52,16.52,14.52,490.57,0.01,100.0,-17.24,-20.4,Classical PSO,8.31,9.45,QPSO
12,86909,15,6,123.1,13.0,uniform,28,29,13.37,13.37,11.87,534.15,12.04,100.0,14.55,14.55,13.05,577.65,8.16,100.0,17.01,17.01,15.51,677.28,0.01,100.0,8.09,9.02,QPSO,21.43,23.5,QPSO
13,33325,16,5,114.8,17.5,rush_hour,31,32,12.45,12.45,10.45,449.9,9.55,100.0,13.76,13.76,12.26,555.05,8.03,100.0,14.37,14.37,12.87,559.14,0.01,100.0,9.53,14.78,QPSO,13.37,18.82,QPSO
14,19131,16,6,75.5,8.0,uniform,25,50,17.5,17.5,14.5,584.37,14.42,100.0,19.19,19.19,16.69,676.54,9.74,100.0,24.13,24.13,21.63,867.3,0.01,100.0,8.79,13.1,QPSO,27.47,32.96,QPSO
15,90192,14,6,93.1,13.0,incident,28,42,14.02,14.02,12.02,467.69,12.54,100.0,14.12,14.12,12.12,484.07,8.91,100.0,17.8,17.8,15.8,623.89,0.0,100.0,0.71,0.83,QPSO,21.22,23.91,QPSO
16,2504,18,6,110.9,18.0,rush_hour,23,34,14.56,14.56,12.56,590.04,17.56,100.0,15.3,15.3,13.3,623.42,10.0,100.0,18.14,18.14,16.14,766.57,0.01,100.0,4.82,5.54,QPSO,19.72,22.17,QPSO
17,57985,10,6,70.2,18.0,rush_hour,25,41,14.17,14.17,12.17,474.32,10.33,100.0,14.62,14.62,12.62,496.59,12.05,100.0,15.23,15.23,13.23,545.0,0.01,100.0,3.06,3.55,QPSO,6.94,7.99,QPSO
18,14947,18,6,120.5,17.5,uniform,24,36,11.8,11.8,10.3,395.15,26.32,100.0,14.18,14.18,12.68,524.39,11.98,100.0,15.16,15.16,13.66,619.52,0.01,100.0,16.81,18.8,QPSO,22.14,24.57,QPSO
19,22174,16,5,105.9,8.0,uniform,31,50,14.35,14.35,12.35,530.15,25.18,100.0,16.28,16.28,14.28,591.58,14.36,100.0,16.07,16.07,14.07,596.21,0.02,100.0,11.85,13.51,QPSO,10.7,12.22,QPSO
20,41306,11,6,84.5,8.0,uniform,35,27,10.64,10.64,9.14,356.49,18.41,100.0,11.36,11.36,9.86,368.73,16.73,100.0,13.69,13.69,12.19,475.14,0.0,100.0,6.37,7.34,QPSO,22.28,25.03,QPSO
21,70822,10,4,109.6,9.0,incident,33,31,11.21,11.21,9.71,402.56,9.92,100.0,10.47,10.47,9.47,430.2,8.82,100.0,13.07,13.07,12.07,565.82,0.0,100.0,-7.05,-2.52,Classical PSO,14.23,19.55,QPSO
22,71686,11,5,93.9,13.0,incident,34,28,12.15,12.15,10.65,406.55,13.31,100.0,12.74,12.74,11.24,427.89,10.06,100.0,16.77,16.77,15.27,551.77,0.0,100.0,4.67,5.3,QPSO,27.57,30.28,QPSO
23,33493,11,6,90.3,17.5,uniform,27,25,11.51,11.51,10.01,363.42,11.4,100.0,11.68,11.68,10.18,356.47,7.93,100.0,15.44,15.44,13.94,518.22,0.01,100.0,1.49,1.71,QPSO,25.46,28.2,QPSO
24,10305,18,6,83.7,9.0,uniform,27,33,16.64,16.64,14.14,608.44,12.36,100.0,18.65,18.65,15.65,684.91,9.77,100.0,20.11,20.11,17.61,748.69,0.01,100.0,10.77,9.63,QPSO,17.24,19.69,QPSO
25,88684,15,6,102.4,17.5,incident,35,32,15.24,15.24,13.24,546.55,11.74,100.0,15.58,15.58,13.58,521.61,7.97,100.0,20.4,20.4,18.4,772.18,0.01,100.0,2.17,2.49,QPSO,25.3,28.05,QPSO
26,62993,14,6,75.7,9.0,rush_hour,33,39,18.81,18.81,16.81,509.76,13.78,100.0,20.9,20.9,18.9,582.13,9.72,100.0,22.05,22.05,20.05,587.73,0.01,100.0,10.0,11.05,QPSO,14.69,16.15,QPSO
27,96561,8,5,73.6,8.0,uniform,26,31,10.68,10.68,9.18,337.32,7.3,100.0,10.68,10.68,9.18,337.32,8.2,100.0,15.84,15.84,14.34,559.53,0.0,100.0,0.0,0.0,Tie,32.6,36.01,QPSO
28,71292,15,5,95.3,13.0,uniform,22,39,13.36,13.36,11.36,464.97,12.03,100.0,13.71,13.71,11.71,516.3,8.24,100.0,18.26,18.26,16.26,617.16,0.0,100.0,2.58,3.02,QPSO,26.84,30.14,QPSO
29,73132,9,3,109.1,8.0,uniform,25,38,8.81,8.81,7.81,325.75,11.81,100.0,8.93,8.93,7.93,328.35,11.84,100.0,10.88,10.88,9.88,429.77,0.0,100.0,1.33,1.5,QPSO,18.99,20.92,QPSO
30,64653,15,4,121.9,8.5,rush_hour,20,37,15.83,15.83,13.83,494.55,12.3,100.0,18.07,18.07,16.57,563.99,10.58,100.0,18.54,18.54,17.04,593.06,0.01,100.0,12.38,16.52,QPSO,14.6,18.83,QPSO
