Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
1,84810,11,3,107.1,8.5,uniform,28,74,9.54,9.54,9.54,336.17,32.34,100.0,10.81,10.81,10.81,377.18,32.49,100.0,9.83,9.83,9.83,366.38,0.01,100.0,11.75,11.75,QPSO,2.95,2.95,QPSO
2,12395,19,7,71.6,8.5,uniform,41,78,18.35,18.35,18.35,771.89,36.03,100.0,17.76,17.76,17.76,768.7,41.4,100.0,18.96,18.96,18.96,814.56,0.01,100.0,-3.29,-3.29,Classical PSO,3.22,3.22,QPSO
3,4478,18,5,105.8,8.5,rush_hour,43,57,30.56,30.56,30.56,787.07,18.3,100.0,27.16,27.16,27.16,645.83,23.85,100.0,73.67,73.67,26.04,644.27,0.01,0.0,-12.52,-12.52,Classical PSO,58.51,-17.37,QPSO
4,1851,12,4,87.0,8.5,rush_hour,28,45,17.44,17.44,17.44,403.45,13.57,100.0,19.43,19.43,19.43,468.22,12.57,100.0,18.38,18.38,18.38,419.55,0.01,100.0,10.25,10.25,QPSO,5.12,5.12,QPSO
5,50797,11,5,112.4,9.0,uniform,39,74,7.64,7.64,7.64,306.14,17.28,100.0,9.63,9.63,9.63,386.35,17.59,100.0,9.49,9.49,9.49,348.54,0.01,100.0,20.62,20.62,QPSO,19.51,19.51,QPSO
6,17361,16,5,97.6,17.5,uniform,27,42,13.03,13.03,13.03,564.47,10.15,100.0,16.77,16.77,16.77,655.75,10.69,100.0,17.72,17.72,17.72,726.96,0.01,100.0,22.31,22.31,QPSO,26.46,26.46,QPSO
7,87673,13,3,119.3,8.0,rush_hour,33,69,13.27,13.27,13.27,402.64,23.85,100.0,13.71,13.71,13.71,389.49,16.77,100.0,13.34,13.34,13.34,411.85,0.01,100.0,3.22,3.22,QPSO,0.53,0.53,QPSO
8,84320,15,5,88.5,18.0,rush_hour,45,44,12.31,12.31,12.31,533.07,14.29,100.0,12.82,12.82,12.82,548.39,16.82,100.0,22.55,22.55,17.22,789.31,0.01,0.0,3.98,3.98,QPSO,45.4,28.52,QPSO
9,80840,20,6,96.7,8.5,rush_hour,37,57,30.38,30.38,30.38,741.84,21.15,100.0,38.48,38.48,33.24,769.75,17.59,0.0,59.99,59.99,29.69,707.87,0.01,0.0,21.07,8.61,QPSO,49.37,-2.31,QPSO
10,84886,18,5,104.2,8.5,uniform,35,65,15.06,15.06,15.06,574.83,30.57,100.0,16.28,16.28,16.28,618.1,27.47,100.0,20.11,20.11,15.55,596.33,0.01,0.0,7.49,7.49,QPSO,25.09,3.13,QPSO
11,36093,11,5,115.7,18.0,rush_hour,31,71,10.07,10.07,10.07,415.61,29.12,100.0,11.73,11.73,11.73,526.77,27.49,100.0,14.28,14.28,12.93,532.09,0.01,0.0,14.12,14.12,QPSO,29.47,22.1,QPSO
12,52856,20,7,77.1,8.5,incident,42,74,22.19,22.19,22.19,912.68,40.73,100.0,22.79,22.79,22.79,1001.52,47.05,100.0,54.84,54.84,24.62,1078.78,0.02,0.0,2.65,2.65,QPSO,59.54,9.87,QPSO
13,35438,19,5,114.9,9.0,uniform,29,72,18.2,18.2,18.2,771.37,35.97,100.0,21.03,21.03,21.03,865.45,29.18,100.0,98.41,98.41,20.55,822.79,0.02,0.0,13.46,13.46,QPSO,81.51,11.44,QPSO
14,65686,11,3,113.1,18.0,uniform,38,78,10.77,10.77,10.77,432.81,41.38,100.0,11.35,11.35,11.35,407.85,33.84,100.0,10.83,10.83,10.83,452.18,0.01,100.0,5.12,5.12,QPSO,0.55,0.55,QPSO
15,9326,16,5,99.8,17.5,rush_hour,42,40,13.29,13.29,13.29,581.23,17.65,100.0,16.48,16.48,16.48,743.91,18.77,100.0,14.24,14.24,14.24,635.28,0.01,100.0,19.35,19.35,QPSO,6.69,6.69,QPSO
16,90166,11,4,108.4,8.0,rush_hour,38,50,13.99,13.99,13.99,355.0,20.2,100.0,14.22,14.22,14.22,371.98,22.49,100.0,18.27,18.27,18.27,498.31,0.01,100.0,1.68,1.68,QPSO,23.47,23.47,QPSO
17,60470,10,3,118.6,17.5,uniform,45,59,7.64,7.64,7.64,357.7,28.91,100.0,8.49,8.49,8.49,376.2,23.55,100.0,7.66,7.66,7.66,358.99,0.01,100.0,9.98,9.98,QPSO,0.25,0.25,QPSO
18,84748,18,6,77.6,17.5,incident,25,78,17.86,17.86,17.86,743.78,31.46,100.0,19.41,19.41,19.41,787.19,30.29,100.0,18.16,18.16,18.16,741.16,0.02,100.0,7.99,7.99,QPSO,1.69,1.69,QPSO
19,43487,17,6,75.6,9.0,uniform,26,55,15.92,15.92,15.92,703.35,28.6,100.0,15.94,15.94,15.94,677.56,52.91,100.0,15.94,15.94,15.94,677.56,0.05,100.0,0.09,0.09,QPSO,0.09,0.09,QPSO
20,75364,11,3,106.6,17.5,uniform,29,70,9.72,9.72,9.72,367.04,24.62,100.0,10.96,10.96,10.96,384.75,23.16,100.0,28.37,28.37,11.15,394.29,0.01,0.0,11.29,11.29,QPSO,65.72,12.76,QPSO
21,73063,12,5,96.4,8.5,incident,31,59,9.59,9.59,9.59,421.36,23.24,100.0,9.8,9.8,9.8,379.36,19.0,100.0,10.66,10.66,10.66,462.03,0.06,100.0,2.08,2.08,QPSO,10.02,10.02,QPSO
22,53296,20,6,91.9,8.0,uniform,32,44,18.09,18.09,18.09,724.83,17.49,100.0,18.29,18.29,18.29,785.66,17.59,100.0,18.14,18.14,18.14,735.51,0.01,100.0,1.09,1.09,QPSO,0.29,0.29,QPSO
23,45313,10,3,99.4,8.0,incident,45,43,9.26,9.26,9.26,370.12,15.33,100.0,10.69,10.69,10.69,468.92,13.65,100.0,10.12,10.12,10.12,373.66,0.01,100.0,13.36,13.36,QPSO,8.5,8.5,QPSO
24,31007,11,3,113.0,17.5,uniform,33,71,7.57,7.57,7.57,300.64,19.89,100.0,7.21,7.21,7.21,292.02,18.73,100.0,10.11,10.11,10.11,415.47,0.01,100.0,-4.86,-4.86,Classical PSO,25.18,25.18,QPSO
25,29080,18,5,106.2,8.5,rush_hour,38,52,24.67,24.67,24.67,591.73,25.06,100.0,30.41,30.41,30.41,680.43,19.39,100.0,24.67,24.67,24.67,591.73,0.02,100.0,18.88,18.88,QPSO,0.0,0.0,Tie
